Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,7781415.81,5720802.76,5312.42
,149,2481593.3,312640.8,0.0
Network 7,25,3327868.12,2335748.8,6918.83
Network 10,30,3841918.97,2799366.37,5091.56
ISP,48,3612589.04,2596851.0,5351.18
Network 9,26,2632404.38,1799947.27,5560.66
Network 16,15,5767845.33,3962492.4,6392.84
Network 15,25,5335371.56,3703485.52,7137.25
Network 1,34,3886481.12,3039253.21,4841.35
Network 12,33,2346970.88,1526558.85,5348.45
Network 5,28,2824439.29,1962026.57,7138.13
Network 6,23,3338722.87,2362312.7,5115.81
Network 2,22,4030399.73,2859809.41,5100.39
Network 13,34,2485315.09,1703732.41,5233.54
Network 8,26,3984968.62,2897074.92,6526.83
Network 4,34,3723214.09,2766749.59,5419.01
Network 3,23,4308677.43,3214044.65,6008.64
Network 11,28,2443195.64,1684341.57,6011.11
Network 17,19,4151976.21,2688023.42,6469.73
Charter,11,51689.36,0.0,0.0
Contract,2,116167.5,0.0,0.0
