Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
,155,2678335.56,407118.85,0.0
ISP,48,3840394.21,2826101.15,6183.67
Network 13,33,2819854.24,1989649.73,6176.8
Network 4,34,4016631.09,2988697.76,5893.35
Network 2,22,4316135.05,3104619.36,5942.33
Network 12,33,2701506.33,1854569.06,6499.79
Network 10,29,4001283.31,2922880.83,5524.44
Network 11,28,2800722.86,2007830.79,7248.13
Network 1,34,4076023.65,3200290.18,5139.23
Network 5,28,3171950.25,2267232.5,8462.63
Network 6,23,3623965.0,2606432.83,5696.94
Network 3,23,4721518.39,3602667.3,6783.12
Network 9,26,2868426.88,2008362.35,6236.51
Network 8,26,4413334.92,3321056.77,7492.99
Network 7,25,3790453.08,2776096.44,8377.59
Network 15,25,5541680.28,3850112.96,8521.95
Network 16,15,6305724.47,4403370.93,7406.72
Network 14,21,8391763.33,6183572.57,5987.72
Network 17,18,5183141.22,3507647.33,8872.46
Contract,2,109187.5,0.0,0.0
Charter,9,43911.67,0.0,0.0
