Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,7979431.86,5830843.24,5467.67
,148,2479533.55,321440.49,0.0
Network 7,25,3311140.12,2325480.04,6867.1
Network 10,30,3985919.2,2907710.83,5337.82
ISP,48,3664237.38,2619605.67,5350.31
Network 9,26,2615298.0,1773477.12,5473.49
Network 16,15,5679252.67,3886808.4,6075.0
Network 15,25,5344143.56,3755629.04,6343.46
Network 1,34,3940999.65,3095505.71,4949.18
Network 5,28,2757006.18,1893268.75,6916.16
Network 6,23,3355539.87,2353768.35,4944.89
Network 12,33,2335112.12,1560133.94,5451.45
Network 2,22,4023284.09,2869715.14,5025.67
Network 13,34,2579275.0,1812451.03,5590.26
Network 4,34,3818882.09,2851313.41,5537.63
Network 3,23,4268845.7,3178680.17,5881.75
Network 11,28,2444740.71,1659319.04,5910.02
Network 17,19,4138828.53,2689814.79,6264.3
Network 8,26,3983015.0,2900467.85,6419.36
Charter,9,65425.0,0.0,0.0
Contract,2,115686.5,0.0,0.0
