Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,10423021.62,7283648.95,6668.45
,141,3427484.68,396326.13,0.0
Network 10,30,4954206.2,3416133.53,6271.48
ISP,48,4726670.08,3288408.15,6795.44
Network 16,16,6784824.69,4553337.88,7137.32
Network 15,26,6749744.23,4697588.19,7571.89
Network 1,34,5008586.62,3766769.09,6051.51
Network 5,28,3298556.79,2176959.43,7690.95
Network 9,27,3122971.07,2052029.41,6296.89
Network 12,33,2989852.09,1887564.42,6535.15
Network 2,22,5116016.55,3506410.5,6278.16
Network 13,34,3216535.97,2154265.65,6734.52
Network 7,25,3788976.36,2553470.0,7565.04
Network 4,34,4586981.03,3311905.59,6412.12
Network 6,23,4193444.61,2891919.22,6122.67
Network 3,23,5098067.91,3646811.22,6903.62
Network 11,28,3104157.93,2001293.75,7072.15
Network 17,19,5237350.32,3277577.21,6817.67
Network 8,27,4590607.26,3214398.7,7190.93
Charter,10,92137.3,0.0,0.0
Contract,2,122849.5,0.0,0.0
