Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,8495719.52,6113073.33,5615.68
,149,2487452.8,315794.03,0.0
Network 7,25,3324471.96,2315691.48,6831.03
Network 10,30,4161182.93,3001432.93,5501.41
ISP,48,3933528.65,2805925.12,5714.92
Network 9,27,2630828.15,1768793.33,5391.87
Network 16,15,5927971.53,3993294.2,6244.15
Network 15,25,5747955.92,3976218.32,6571.82
Network 1,34,4173750.88,3254632.12,5223.35
Network 5,28,2816918.25,1913169.36,6886.14
Network 6,23,3573801.13,2492975.91,5279.37
Network 12,33,2384667.52,1576999.7,5487.78
Network 2,22,4189230.27,3001490.0,5261.19
Network 13,34,2689933.53,1874147.71,5805.57
Network 4,34,4054078.5,3010828.15,5859.88
Network 3,23,4469485.78,3262325.74,5986.21
Network 11,28,2522128.96,1695270.43,5999.25
Network 17,19,4358131.68,2802413.63,6273.86
Network 8,27,4036534.3,2908976.56,6472.98
Charter,9,78978.44,0.0,0.0
Contract,2,120179.5,0.0,0.0
