Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,9147513.33,6489839.48,5978.42
,145,2843092.83,351557.3,0.0
Network 10,30,4478365.97,3178047.83,5786.01
ISP,48,4304349.42,3007485.75,6070.0
Network 9,27,2832172.11,1871056.85,5682.47
Network 16,16,6076472.0,4116866.06,6471.39
Network 15,26,6045151.35,4233463.27,7073.15
Network 1,34,4571324.0,3501436.68,5646.47
Network 5,28,3032477.61,2009020.54,7201.96
Network 6,23,3870312.3,2646741.96,5579.32
Network 12,33,2703022.21,1769689.0,6111.7
Network 2,22,4555613.45,3189088.27,5605.93
Network 13,34,2927903.15,1994159.71,6157.88
Network 7,25,3608949.12,2452675.84,7194.45
Network 4,34,4274135.97,3161580.85,6111.78
Network 3,23,4761460.04,3445567.26,6353.58
Network 11,28,2767093.0,1791717.75,6384.36
Network 17,19,4576251.21,2949223.21,6610.47
Network 8,27,4295926.19,3040975.63,6768.79
Charter,9,82895.0,0.0,0.0
Contract,2,124760.5,0.0,0.0
