Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,11541297.24,7974916.29,7415.76
,145,3970966.5,401229.19,0.0
Network 10,30,5386339.7,3667500.43,6759.69
Network 9,27,3544401.59,2205326.22,6738.35
Network 16,16,7389074.88,5024983.0,8167.9
Network 15,26,7507687.96,5205297.88,8189.58
Network 1,34,5706150.88,4189404.5,6742.52
Network 5,28,3567105.61,2266755.75,7998.75
ISP,48,5210115.9,3595008.5,7288.29
Network 12,33,3312832.39,2054743.27,7224.3
Network 2,22,5743512.5,3840446.0,6785.27
Network 13,34,3550662.09,2296266.32,7208.88
Network 7,25,4086257.64,2690413.64,7990.2
Network 4,34,5088302.68,3644782.82,6982.63
Network 3,23,5602774.35,3859193.65,7374.09
Network 11,28,3408147.11,2114558.86,7565.02
Network 6,23,4614510.04,3097034.43,6501.57
Network 8,27,4854509.26,3311697.56,7490.0
Network 17,19,5637246.47,3573733.21,7483.0
Charter,11,78601.09,0.0,0.0
Contract,2,79211.5,0.0,0.0
