Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
,195,2092321.18,351670.59,0.0
ISP,48,3622518.0,2633147.4,5791.42
Network 13,33,2783873.61,1965043.94,6107.98
Network 4,34,3785875.65,2814600.18,5540.24
Network 2,22,4197233.91,3002124.86,5832.71
Network 12,33,2671288.33,1778111.36,6234.45
Network 10,29,3951736.34,2846322.38,5299.58
Network 11,28,2660059.07,1882172.14,6770.98
Network 1,34,3970395.71,3110696.68,4971.18
Network 5,28,3059828.43,2170641.96,8074.8
Network 6,23,3499614.09,2475187.87,5397.38
Network 3,23,4542559.0,3499044.78,6635.23
Network 9,26,2692402.81,1846155.12,5709.09
Network 8,26,4348065.35,3277832.15,7364.12
Network 7,25,3632459.72,2663936.28,8041.1
Network 15,25,5315761.48,3598179.8,7706.95
Network 16,15,6132833.4,4170732.73,7177.76
Network 14,21,8152470.43,5975462.43,5709.22
Network 17,18,5176020.56,3420943.83,9207.16
Contract,2,71124.5,0.0,0.0
Charter,6,49557.5,0.0,0.0
