Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
Network 14,21,11114443.62,7702985.67,7032.68
,148,3626205.57,409173.53,0.0
Network 10,30,5084014.73,3423474.0,6275.78
Network 15,26,7115049.58,4881816.08,7762.33
Network 1,34,5394970.06,3977879.03,6383.04
Network 9,27,3307934.04,2138671.11,6635.74
Network 16,16,7037813.75,4766738.69,7831.9
Network 12,33,3178946.48,1935013.24,6756.51
Network 2,22,5376805.59,3670419.32,6522.06
Network 13,34,3446520.82,2238060.5,6982.93
Network 7,25,3919565.48,2591256.44,7696.32
ISP,48,5006414.96,3442317.4,6989.22
Network 4,34,4882233.79,3489702.0,6735.74
Network 3,23,5210871.3,3641893.0,6870.62
Network 11,28,3194843.43,1954961.54,6917.74
Network 6,23,4377486.0,2933010.48,6132.7
Network 8,27,4738462.63,3218101.22,7240.53
Network 17,19,5495679.68,3459265.21,6980.75
Network 5,28,3438034.57,2221509.79,7757.02
Charter,10,78294.5,0.0,0.0
Contract,2,56952.5,0.0,0.0
